ï»¿id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
78,"Callcott, Sir Augustus Wall",Male,1779â€“1844,1779,1844,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-augustus-wall-callcott-78
1447,"Kunkel, Don",Male,born 1933,1933,,,,http://www.tate.org.uk/art/artists/don-kunkel-1447
416,"Penley, Aaron Edwin",Male,1807â€“1870,1807,1870,,,http://www.tate.org.uk/art/artists/aaron-edwin-penley-416
53,"Brett, John",Male,1831â€“1902,1831,1902,"Reigate, United Kingdom","Putney, United Kingdom",http://www.tate.org.uk/art/artists/john-brett-53
2282,"Deeble, W.",Male,active 1819,1819,1819,,,http://www.tate.org.uk/art/artists/w-deeble-2282
675,"Auerbach, Arnold",Male,1898â€“1978,1898,1978,"Liverpool, United Kingdom",,http://www.tate.org.uk/art/artists/arnold-auerbach-675
2269,"Horn, Rebecca",Female,born 1944,1944,,"Michelstadt, Deutschland",,http://www.tate.org.uk/art/artists/rebecca-horn-2269
662,Arman,Male,1928â€“2005,1928,2005,"Nice, France",,http://www.tate.org.uk/art/artists/arman-armand-fernandez-662
2760,"Creed, Martin",Male,born 1968,1968,,"Wakefield, United Kingdom",,http://www.tate.org.uk/art/artists/martin-creed-2760
4611,"Dalwood, Dexter",Male,born 1960,1960,,"Bristol, United Kingdom",,http://www.tate.org.uk/art/artists/dexter-dalwood-4611
2593,"Herman, Andrew",Male,born 1961,1961,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/andrew-herman-2593
50,"Brabazon, Hercules Brabazon",Male,1821â€“1906,1821,1906,"Paris, France",,http://www.tate.org.uk/art/artists/hercules-brabazon-brabazon-50
1657,"Moon, Michael",Male,born 1937,1937,,"Edinburgh, United Kingdom",,http://www.tate.org.uk/art/artists/michael-moon-1657
2351,"Bourgeois, Louise",Female,1911â€“2010,1911,2010,"Paris, France","New York, United States",http://www.tate.org.uk/art/artists/louise-bourgeois-2351
683,"Bacon, John Henry F.",Male,1868â€“1915,1868,1915,"London, United Kingdom",,http://www.tate.org.uk/art/artists/john-henry-f-bacon-683
5905,"Wright, Richard",Male,born 1960,1960,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/richard-wright-5905
2459,"Tassaert, Philippe Joseph",Male,1732â€“1803,1732,1803,,,http://www.tate.org.uk/art/artists/philippe-joseph-tassaert-2459
1305,"Holroyd, Sir Charles",Male,1861â€“1917,1861,1917,"Leeds, United Kingdom","Weybridge, United Kingdom",http://www.tate.org.uk/art/artists/sir-charles-holroyd-1305
2191,"O'Conor, Roderic",Male,1860â€“1940,1860,1940,"Roscommon, Ã‰ire",France,http://www.tate.org.uk/art/artists/roderic-oconor-2191
108,"Constable, John",Male,1776â€“1837,1776,1837,"Suffolk, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/john-constable-108
2463,"Underwood, Thomas Richard",Male,c.1772â€“1836,1772,1836,,,http://www.tate.org.uk/art/artists/thomas-richard-underwood-2463
758,"Bissill, George",Male,1896â€“1973,1896,1973,"Fairford, United Kingdom",,http://www.tate.org.uk/art/artists/george-bissill-758
1815,"Rauschenberg, Robert",Male,1925â€“2008,1925,2008,"Port Arthur, United States","Captiva Island, United States",http://www.tate.org.uk/art/artists/robert-rauschenberg-1815
563,"Vanderbank, John",Male,1694â€“1739,1694,1739,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-vanderbank-563
